IssueID,ProjectName,Politeness,FixingTime_hours,Assignee,AssigneeAct,Project
226410,Hadoop Common,mixed,22644.9599,0,null,HADOOP
613999,GeoServer,mixed,47.1085,4933,VHIGH,GEOS
226411,Hadoop Common,mixed,286.0446,36200,HIGH,HADOOP
539575,JRuby (please use github issues at http://bugs.jruby.org),mixed,646.4976,46258,VHIGH,JRUBY
226439,Hadoop Common,mixed,172.3829,30471,VHIGH,HADOOP
613990,GeoServer,polite,4516.9217,4933,VHIGH,GEOS
613991,GeoServer,impolite,33993.885,4933,VHIGH,GEOS
613992,GeoServer,impolite,1507.2199,76050,VHIGH,GEOS
226435,Hadoop Common,polite,7.2394,36278,HIGH,HADOOP
613994,GeoServer,impolite,23066.3955,4933,VHIGH,GEOS
226436,Hadoop Common,mixed,291.6643,36278,HIGH,HADOOP
226437,Hadoop Common,polite,514.3724,37508,STD,HADOOP
539571,JRuby (please use github issues at http://bugs.jruby.org),mixed,5627.1734,74274,VHIGH,JRUBY
226438,Hadoop Common,polite,167.6053,0,null,HADOOP
539572,JRuby (please use github issues at http://bugs.jruby.org),mixed,3096.0112,78894,VHIGH,JRUBY
226442,Hadoop Common,impolite,187.2878,36067,HIGH,HADOOP
226443,Hadoop Common,impolite,398.7137,8598,HIGH,HADOOP
226444,Hadoop Common,mixed,1295.0626,36067,HIGH,HADOOP
613989,GeoServer,impolite,783.8052,76050,VHIGH,GEOS
226440,Hadoop Common,impolite,672.3096,45396,HIGH,HADOOP
539588,JRuby (please use github issues at http://bugs.jruby.org),mixed,4681.8377,46258,VHIGH,JRUBY
539589,JRuby (please use github issues at http://bugs.jruby.org),impolite,6655.2415,46258,VHIGH,JRUBY
539587,JRuby (please use github issues at http://bugs.jruby.org),mixed,5392.498,74274,VHIGH,JRUBY
226428,Hadoop Common,polite,205.0097,36278,HIGH,HADOOP
539581,JRuby (please use github issues at http://bugs.jruby.org),impolite,5352.1214,46258,VHIGH,JRUBY
613980,GeoServer,impolite,14064.8232,76050,VHIGH,GEOS
613981,GeoServer,polite,11761.1769,74224,VHIGH,GEOS
613982,GeoServer,polite,4461.3141,76050,VHIGH,GEOS
226424,Hadoop Common,polite,209.9224,36312,HIGH,HADOOP
539584,JRuby (please use github issues at http://bugs.jruby.org),mixed,3944.3321,87535,VHIGH,JRUBY
613984,GeoServer,impolite,1879.9121,97032,HIGH,GEOS
